Gaming,Last,Overall,Attendance,Preparation
More than 3 Hours,3.13,3.13,80%-100%,2-3 Hours
More than 3 Hours,3.13,3.13,80%-100%,2-3 Hours
More than 3 Hours,3.13,3.13,80%-100%,2-3 Hours
2-3 Hours,3.34,3.15,60%-79%,2-3 Hours
2-3 Hours,3.3,3.15,60%-79%,2-3 Hours
2-3 Hours,3.33,3.15,60%-79%,2-3 Hours
More than 3 Hours,3.16,3.16,80%-100%,2-3 Hours
More than 3 Hours,3.19,3.19,60%-79%,2-3 Hours
More than 3 Hours,3.19,3.19,60%-79%,2-3 Hours
More than 3 Hours,3.19,3.19,60%-79%,2-3 Hours
More than 3 Hours,3.19,3.19,60%-79%,2-3 Hours
More than 3 Hours,3.21,3.21,60%-79%,2-3 Hours
More than 3 Hours,3.27,3.22,80%-100%,More than 3 Hours
More than 3 Hours,3.02,3.25,80%-100%,2-3 Hours
More than 3 Hours,3.09,3.25,80%-100%,2-3 Hours
More than 3 Hours,3.1,3.25,80%-100%,2-3 Hours
More than 3 Hours,3.01,3.25,60%-79%,0-1 Hour
More than 3 Hours,3.08,3.25,40%-59%,2-3 Hours
More than 3 Hours,3.04,3.25,40%-59%,2-3 Hours
More than 3 Hours,3.04,3.25,40%-59%,2-3 Hours
2-3 Hours,3.22,3.25,60%-79%,2-3 Hours
More than 3 Hours,3.11,3.25,80%-100%,2-3 Hours
More than 3 Hours,3.1,3.25,80%-100%,2-3 Hours
More than 3 Hours,3.0,3.25,60%-79%,0-1 Hour
More than 3 Hours,3.05,3.25,40%-59%,2-3 Hours
More than 3 Hours,3.0,3.25,60%-79%,0-1 Hour
2-3 Hours,3.25,3.25,60%-79%,2-3 Hours
2-3 Hours,3.25,3.25,60%-79%,2-3 Hours
2-3 Hours,3.25,3.25,60%-79%,2-3 Hours
2-3 Hours,3.25,3.25,60%-79%,2-3 Hours
2-3 Hours,3.25,3.25,60%-79%,2-3 Hours
2-3 Hours,3.25,3.25,60%-79%,2-3 Hours
2-3 Hours,3.25,3.25,60%-79%,2-3 Hours
2-3 Hours,3.25,3.25,60%-79%,2-3 Hours
2-3 Hours,3.25,3.25,60%-79%,2-3 Hours
2-3 Hours,3.25,3.25,60%-79%,2-3 Hours
2-3 Hours,3.27,3.27,80%-100%,More than 3 Hours
2-3 Hours,3.47,3.27,60%-79%,2-3 Hours
2-3 Hours,3.44,3.27,60%-79%,2-3 Hours
2-3 Hours,3.43,3.27,60%-79%,2-3 Hours
2-3 Hours,3.48,3.27,60%-79%,2-3 Hours
2-3 Hours,3.3,3.3,60%-79%,2-3 Hours
2-3 Hours,3.3,3.3,60%-79%,2-3 Hours
2-3 Hours,3.31,3.31,60%-79%,2-3 Hours
More than 3 Hours,3.32,3.32,80%-100%,More than 3 Hours
2-3 Hours,3.32,3.32,60%-79%,2-3 Hours
2-3 Hours,2.71,3.33,80%-100%,2-3 Hours
More than 3 Hours,2.86,3.33,60%-79%,2-3 Hours
2-3 Hours,3.4,3.33,60%-79%,2-3 Hours
2-3 Hours,3.38,3.33,60%-79%,2-3 Hours
2-3 Hours,3.4,3.33,60%-79%,2-3 Hours
2-3 Hours,3.42,3.33,60%-79%,2-3 Hours
2-3 Hours,3.42,3.33,60%-79%,2-3 Hours
2-3 Hours,3.35,3.35,60%-79%,2-3 Hours
More than 3 Hours,3.14,3.37,80%-100%,More than 3 Hours
2-3 Hours,3.38,3.38,60%-79%,2-3 Hours
2-3 Hours,3.38,3.38,60%-79%,2-3 Hours
2-3 Hours,3.38,3.38,60%-79%,2-3 Hours
2-3 Hours,3.38,3.38,60%-79%,2-3 Hours
2-3 Hours,3.38,3.38,60%-79%,2-3 Hours
0-1 Hour,3.3,3.39,80%-100%,0-1 Hour
More than 3 Hours,3.83,3.39,80%-100%,2-3 Hours
More than 3 Hours,3.6,3.44,60%-79%,2-3 Hours
More than 3 Hours,3.59,3.44,60%-79%,2-3 Hours
2-3 Hours,3.44,3.44,60%-79%,2-3 Hours
2-3 Hours,3.44,3.44,60%-79%,2-3 Hours
More than 3 Hours,2.92,3.46,60%-79%,More than 3 Hours
More than 3 Hours,3.48,3.48,80%-100%,0-1 Hour
More than 3 Hours,3.02,3.5,40%-59%,0-1 Hour
More than 3 Hours,3.0,3.5,80%-100%,0-1 Hour
2-3 Hours,3.76,3.5,80%-100%,0-1 Hour
2-3 Hours,3.7,3.5,80%-100%,0-1 Hour
More than 3 Hours,4.0,3.5,80%-100%,0-1 Hour
2-3 Hours,3.78,3.5,80%-100%,0-1 Hour
2-3 Hours,3.75,3.5,80%-100%,0-1 Hour
0-1 Hour,3.83,3.5,80%-100%,0-1 Hour
2-3 Hours,3.75,3.5,80%-100%,0-1 Hour
2-3 Hours,3.5,3.5,60%-79%,2-3 Hours
2-3 Hours,3.5,3.5,60%-79%,2-3 Hours
2-3 Hours,3.5,3.5,60%-79%,2-3 Hours
2-3 Hours,3.5,3.5,60%-79%,2-3 Hours
